id,name,parent_id,image,resource_id
52,Stream Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
53,Sisorid Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
54,Shark Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
55,Naked Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
56,Pipefish,2,images/placeholder.svg,
57,Pipefish,56,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
58,Puffer Fish,2,images/placeholder.svg,
59,Puffer fish,58,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
60,Anchovy,2,images/placeholder.svg,
61,Anchovy,60,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
62,Herring,2,images/placeholder.svg,
63,Longfin Herring,62,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
64,Stickleback,2,images/placeholder.svg,
65,Armored Stickleback,64,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
66,Mullet,2,images/placeholder.svg,
67,Mullet,66,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
68,Chameleonfish,2,images/placeholder.svg,
69,Chameleonfish,68,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
70,Stingrays,2,images/placeholder.svg,
71,Whiptail Stingray,70,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
72,Reptiles,0,images/placeholder.svg,
73,Lizard,72,images/placeholder.svg,
74,,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
75,Forest Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
76,Mountain Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
77,Glass Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
78,Chameleon,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
79,Snake-eyed Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
80,Spiny Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
81,Toad-headed Agama,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
82,Pygmy Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
83,Wall Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
84,Fan-throated Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
85,Ground Agama,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
86,Fringe-fingered Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
87,Kangaroo Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
88,Grass Lizard,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
89,Rock Agama,73,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
90,Monitor,72,images/placeholder.svg,
91,Monitor Lizard,90,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
92,Gecko,72,images/placeholder.svg,
93,Rock Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
94,Bow-fingered Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
95,Day Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
96,Bent-toed Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
97,True Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
98,Comb-toed Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
99,Ground Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
100,Parachute Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
101,Golden Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
102,Half leaf-fingered Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
103,Dwarf Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
104,Web-toed Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
105,Hemidactyl Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
106,Curved-foot Gecko,92,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
107,Skink,72,images/placeholder.svg,
108,Snake-eyed Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
109,Cat Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
110,Forest Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
111,Ground Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
112,Limbless Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
113,Supple Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
114,Snake Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
115,Broad-headed Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
116,Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
117,Sand Skink,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
118,Mobuya,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
119,Dasia,107,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
120,Snake,72,images/placeholder.svg,
121,Python,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
122,Racers,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
123,Wood Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
124,Diadem Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
